Name,Followers,Country,Average Authentic,Average Engagement
magdalenamst,85.3K,Austria,1.9K,3.2K
fischerski,165.4K,Austria,796,962
theflyingflip,76.8K,Austria,1.8K,2.3K
_chelsea.seber,49.6K,Austria,2.6K,3.3K
vandeer_redbull_sports,88.9K,Austria,1.1K,1.3K
sarii_kaufmann,37.4K,Austria,3K,4K
alpineflorine,81.4K,Austria,1.2K,1.5K
ski_austria_alpin_damen,74.6K,Austria,1.2K,1.4K
laura_stigger,64.7K,Austria,1.5K,2.1K
head_rebels,67.9K,Austria,1.3K,1.7K
nicischmidhofer,63.5K,Austria,1.4K,1.8K
mattmichi,49.4K,Austria,1.7K,2.1K
mariesporer,32.8K,Austria,2.8K,3.4K
skibumhub,24.7K,Austria,3.2K,4K
fabian_lentsch,49.7K,Austria,1.7K,2.7K
tao_kreibich,58.8K,Austria,1.3K,1.4K
elisa.deutschmann,73.9K,Austria,1.1K,1.4K
wiengesundheit,6.8K,Austria,111,137
basefive_,8.7K,Austria,100,116
fitbymeld,2.7K,Austria,274,452
sami_trainingscenter_wien,5.4K,Austria,119,143
johanniter.at,3.9K,Austria,164,197
arzu_s_ca,3.1K,Austria,226,312
melli_lutz,6.8K,Austria,118,161
hundetrainingleitner,12.3K,Germany,53,94
roteskreuzvorarlberg,6.3K,Austria,96,120
climbingpsychology,7.5K,Austria,82,110
stefanie.smly_,5.8K,Austria,121,152
simone_stocker,8.9K,Austria,83,131
mirela.coach,9.2K,Austria,72,98
fizjo_patka,2.8K,Austria,211,287
oeh_innsbruck,11.5K,Austria,49,52
walsergruppe,2.9K,Austria,193,232
wild.and.urban,5.6K,Austria,105,140
261fearless,14.8K,Austria,34,47
kaizen_mma,4.4K,Austria,121,165
beazhan_azhdari,8K,Austria,65,100
helenekrainer,8.6K,Austria,68,108
fachschule_feistritz,2.5K,Austria,190,250
roxxy_nardai_hurrikan,5.6K,Germany,91,137
steelwingslinz,3.3K,Austria,150,242
tayfunsaltas,7.3K,Austria,68,91
skn_jugend,2.5K,Austria,173,206
manuel.teufl,19.4K,Germany,25,41
basi_inst,5.1K,Austria,82,100
lisastampfer,4.1K,Austria,110,143
fasa_skincare_lia,3.7K,Austria,117,204
sandro_krt,3.4K,Austria,145,162
lisahoerzweberyoga,2.6K,Austria,172,187
bernhardtrainiert,5.2K,Austria,77,103
petra_pretti,4.4K,Austria,96,117
mona_arbinger,6.2K,Austria,72,98
olympiazentrumtirol,4.2K,Austria,101,123
msv__2020,2.5K,Austria,135,155
tws_helgepayer,4.8K,Austria,71,89
alexandra.kirchberger,2.4K,Austria,143,169
just__yoga__it,8.6K,Austria,46,63
maveletics,4.5K,Austria,77,116
fc.bergheim,2.2K,Austria,149,183
sandramlad,1.8K,Austria,185,252
javier_calderon_morales,5.6K,Austria,59,85
alpsfitnessacademy,3.8K,Austria,86,115
nataliaurora,6.8K,Austria,58,91
dr.veresh,3.4K,Austria,93,119
alexander.markl,2.5K,Austria,127,168
htlkrems,1.9K,Austria,154,180
roteskreuz_graz,2.7K,Austria,107,125
jamiek582,2.3K,Austria,120,188
danielmosercarpfishing,3.7K,Austria,77,113
noel_schmied_nt,2.2K,Austria,121,161
andreasblamauer_flyfishing,3.1K,Austria,84,110
markusscheer,3.7K,Austria,70,93
diving_steph,11.4K,Austria,21,27
siebererthomas,2.6K,Austria,83,104
austrian_swimming_federation,4.7K,Austria,64,786
max_muenster_,2.7K,Austria,86,165
citywaveat,4.1K,Austria,47,58
steinbachpools,9.3K,Austria,21,29
juergen_schaschl_nt,1.9K,Germany,105,178
vienna_stylefishing,2.9K,Austria,68,101
blanx_carpfishing,1.6K,Austria,115,159
fish_on_gaspoltshofen,2.3K,Austria,77,117
mwiesinga,2.2K,Austria,80,124
narzissendorf_zloam,3.9K,Austria,42,53
vienna_city_fishing,2K,Austria,87,157
pikehunters_austria,6.4K,Austria,47,493
windkraftsportaustria,9.7K,Austria,16,21
meunier.flo,1.5K,Austria,103,153
angelurlaub,2.2K,Austria,69,89
mark_domine_,2.1K,Austria,76,126
mkfishery,3K,Austria,51,73
sharquarium,3.3K,Austria,41,54
freibad.fuerstenfeld,2K,Austria,65,79
daniel_lugger_carpfishing,1.6K,Austria,87,108
daniela_mackh_dancestudios,2.3K,Austria,54,65
alpentherme_gastein,3.8K,Austria,31,40
supboxaustria,2.9K,Austria,38,48
swimcoach_vienna,1.9K,Austria,56,71
triathlonhulk,2.8K,Germany,39,56
denise_liane,1.3K,Austria,81,109
aquatic_baits,4.4K,Austria,24,39
pascal_carpfishing,2K,Austria,49,84
chris_flyboardshow,3.5K,Austria,28,55
betawellness,5.9K,Austria,22,273
exotenparadies_tirol,13.6K,Austria,9,109
aerial_amazons,2.6K,Austria,36,46
procenterlanzarote,1.5K,Austria,55,68
die_tauchschule,2.6K,Austria,32,41
wasserwachtburghausen,1.4K,Austria,63,94
mpa_fishing,3.6K,Austria,22,31
surfshop_usd.at,2.3K,Austria,41,51
schwerelos.wien,6.5K,Germany,11,16
woertherseeschifffahrt,2.5K,Austria,31,40
seta2907,1.2K,Austria,64,71
pole_kati,1.7K,Germany,39,64
valblu_bludenz,2.8K,Austria,22,30
guenthermatzinger,1.4K,Austria,42,58
maxfranzz,86.7K,Austria,771,1.1K
hahnenkammrennen,76.2K,Austria,868,1K
evamariabrem,70.8K,Austria,931,1.5K
joh_aenni,57.7K,Austria,1.2K,1.5K
tamara_tippler,43.6K,Austria,1.5K,2.1K
philipp.swrz,10K,Austria,6.4K,7.1K
nellaknauss,18.9K,Austria,3.3K,4.5K
gigiruf,105.8K,Austria,491,659
marcelstauffer401,29.9K,Austria,1.7K,2.2K
larasophie.pichler,26.9K,Austria,1.8K,2.5K
baumgartner_sam,45.9K,Austria,1.2K,1.5K
pistenkanone,52.8K,Austria,883,1.1K
onur_szr,19.6K,Austria,2.8K,5K
strolzangela,33.5K,Austria,1.5K,2K
_michael_strasser,31.2K,Austria,1.4K,1.6K
lukas.muellauer,29K,Austria,1.7K,2K
missy.julia,38.3K,Austria,1.2K,1.5K
mogli.vision,10.7K,Austria,4.5K,5.5K
bouncing_betti,23.7K,Austria,2K,2.6K
michikirchi,72.8K,Austria,535,642
viki_schnaderbeck,50K,Austria,855,1.1K
johannesluethi,118.5K,Austria,371,470
saramarita_kramer,27.5K,Austria,1.4K,1.8K
